ID logement;Type
38.9;Barre De Son
27.7;Barre De Son
15.6;Barre De Son
15.4;Barre De Son
13.3;Barre De Son 2
24.0;Home Cinéma
0.5;Home Cinéma
19.9;Home Cinéma
6.8999999999999995;Home Cinéma
2.2;Home Cinéma
174.89999999999998;Home Cinéma
392.0;GAZ
278.0;GAZ
102.5;GAZ
214.10000000000002;FIOUL
1067.8000000000002;GAZ
931.7;GAZ
402.3;GAZ
122.0;GAZ
186.3;GAZ
292.1;GAZ
488.9;GAZ
566.5;GAZ
192.7;GAZ
168.1;GAZ
460.9;GAZ
203.79999999999998;FIOUL
654.2;GAZ
429.9;GAZ
267.9;GAZ
405.1;GAZ
721.6;GAZ
395.2;GAZ
904.6999999999999;FIOUL
249.0;GAZ
1688.6;FIOUL
978.1999999999999;FIOUL
133.4;GAZ
203.9;GAZ
85.9;CLIMATISEUR SUR PRISE
2781.8;DÉSHUMIDIFCATEUR
191.8;DÉSHUMIDIFCATEUR
29.3;RAFRAICHISSEUR SUR PRISE
15.5;RAFRAICHISSEUR SUR PRISE
324.70000000000005;ARMOIRE
235.39999999999998;ARMOIRE
207.3;ARMOIRE
538.7;ARMOIRE
317.9;ARMOIRE
189.0;ARMOIRE
1467.1;ARMOIRE
521.2;ARMOIRE
890.5;ARMOIRE
530.9;ARMOIRE
319.5;ARMOIRE
610.3;ARMOIRE
760.2;ARMOIRE
407.4;ARMOIRE
316.5;ARMOIRE
790.9;ARMOIRE
241.0;ARMOIRE
459.5;ARMOIRE
1266.0;ARMOIRE
622.4000000000001;ARMOIRE
607.1;ARMOIRE
527.9000000000001;ARMOIRE
1784.5;ARMOIRE
427.5;ARMOIRE
476.6;ARMOIRE
363.4;ARMOIRE
1158.1;ARMOIRE
480.20000000000005;ARMOIRE
644.1;COFFRE
1152.7;COFFRE
292.5;COFFRE
343.79999999999995;COFFRE
431.4;COFFRE
876.6;COFFRE
1477.2;COFFRE
441.1;COFFRE
272.0;COFFRE
560.0999999999999;COFFRE
639.9000000000001;COFFRE
